target_id	length	eff_length	est_counts	tpm
CCDS14873.1|Mm108|chr1	585	292.718	0	0
CCDS14874.1|Mm108|chr1	666	372.157	0	0
CCDS14875.1|Mm108|chr1	765	470.998	0	0
CCDS14876.1|Mm108|chr1	1599	1304.93	0	0
CCDS14877.1|Mm108|chr1	2634	2339.93	0	0
CCDS14878.1|Mm108|chr1	1044	749.931	0	0
CCDS14879.2|Mm108|chr1	2316	2021.93	0	0
CCDS14880.1|Mm108|chr1	2142	1847.93	0	0
CCDS14881.1|Mm108|chr1	2127	1832.93	0	0
CCDS14882.1|Mm108|chr1	921	626.998	0	0
CCDS14883.1|Mm108|chr1	552	267.232	0	0
CCDS14885.2|Mm108|chr1	1140	845.931	0	0
CCDS14886.1|Mm108|chr1	390	145.687	0	0
CCDS14887.1|Mm108|chr1	1131	836.931	0	0
CCDS14888.1|Mm108|chr1	1857	1562.93	0	0
CCDS14890.1|Mm108|chr1	1896	1601.93	0	0
CCDS14892.1|Mm108|chr1	780	485.998	0	0
CCDS14893.1|Mm108|chr1	1608	1313.93	0	0
CCDS14894.1|Mm108|chr1	2094	1799.93	0	0
CCDS14895.1|Mm108|chr1	1122	827.931	0	0
CCDS14896.1|Mm108|chr1	483	205.411	0	0
CCDS14897.1|Mm108|chr1	642	348.157	0	0
CCDS14898.1|Mm108|chr1	681	387.157	0	0
CCDS14899.1|Mm108|chr1	3750	3455.93	0	0
CCDS14900.2|Mm108|chr1	2265	1970.93	0	0
CCDS14901.1|Mm108|chr1	1125	830.931	0	0
CCDS14902.1|Mm108|chr1	462	193.617	0	0
CCDS14903.1|Mm108|chr1	723	428.998	0	0
CCDS14904.1|Mm108|chr1	378	136.393	681	129.956
CCDS14905.1|Mm108|chr1	3405	3110.93	0	0
CCDS14906.1|Mm108|chr1	1518	1223.93	0	0
CCDS14907.1|Mm108|chr1	1185	890.931	0	0
CCDS14908.1|Mm108|chr1	867	572.998	0	0
CCDS14909.1|Mm108|chr1	1233	938.931	0	0
CCDS14910.1|Mm108|chr1	1725	1430.93	0	0
CCDS14912.1|Mm108|chr1	1845	1550.93	0	0
CCDS14913.1|Mm108|chr1	2394	2099.93	0	0
CCDS14914.1|Mm108|chr1	2445	2150.93	0	0
CCDS14915.1|Mm108|chr1	1401	1106.93	0	0
CCDS14917.1|Mm108|chr1	1494	1199.93	0	0
CCDS14918.1|Mm108|chr1	1173	878.931	0	0
CCDS14919.1|Mm108|chr1	1122	827.931	0	0
CCDS14920.1|Mm108|chr1	2583	2288.93	0	0
CCDS14921.1|Mm108|chr1	699	404.998	0	0
CCDS14922.1|Mm108|chr1	840	545.998	0	0
CCDS14924.1|Mm108|chr1	1143	848.931	0	0
CCDS14925.1|Mm108|chr1	447	182.858	0	0
CCDS14926.1|Mm108|chr1	3789	3494.93	0	0
CCDS14927.1|Mm108|chr1	747	452.998	0	0
CCDS14929.1|Mm108|chr1	1509	1214.93	0	0
CCDS14930.1|Mm108|chr1	1509	1214.93	0	0
CCDS14931.1|Mm108|chr1	735	440.998	0	0
CCDS14932.1|Mm108|chr1	2493	2198.93	0	0
CCDS14933.1|Mm108|chr1	1713	1418.93	0	0
CCDS14936.1|Mm108|chr1	2502	2207.93	0	0
CCDS14939.1|Mm108|chr1	1125	830.931	0	0
CCDS14940.1|Mm108|chr1	1257	962.931	0	0
CCDS14942.1|Mm108|chr1	3324	3029.93	0	0
CCDS14943.1|Mm108|chr1	2247	1952.93	0	0
CCDS14944.1|Mm108|chr1	1461	1166.93	0	0
CCDS14945.2|Mm108|chr1	2385	2090.93	0	0
CCDS14946.1|Mm108|chr1	2328	2033.93	0	0
CCDS14947.1|Mm108|chr1	1191	896.931	0	0
CCDS14948.1|Mm108|chr1	1158	863.931	0	0
CCDS14949.1|Mm108|chr1	321	96.3589	0	0
CCDS14950.1|Mm108|chr1	1131	836.931	0	0
CCDS14951.1|Mm108|chr1	2754	2459.93	0	0
CCDS14952.1|Mm108|chr1	462	193.617	0	0
CCDS14953.1|Mm108|chr1	1245	950.931	0	0
CCDS14954.1|Mm108|chr1	1884	1589.93	0	0
CCDS14955.1|Mm108|chr1	1119	824.931	0	0
CCDS14956.1|Mm108|chr1	4737	4442.93	0	0
CCDS14957.1|Mm108|chr1	885	590.998	0	0
CCDS14958.1|Mm108|chr1	2649	2354.93	0	0
CCDS14959.1|Mm108|chr1	579	287.297	0	0
CCDS14960.1|Mm108|chr1	678	384.157	0	0
CCDS14962.1|Mm108|chr1	1503	1208.93	0	0
CCDS14963.1|Mm108|chr1	1761	1466.93	0	0
CCDS14964.1|Mm108|chr1	1179	884.931	0	0
CCDS14965.1|Mm108|chr1	2202	1907.93	0	0
CCDS14966.2|Mm108|chr1	948	653.998	0	0
CCDS14969.1|Mm108|chr1	4008	3713.93	0	0
CCDS14970.1|Mm108|chr1	4011	3716.93	0	0
CCDS14971.1|Mm108|chr1	1260	965.931	0	0
CCDS14973.1|Mm108|chr1	1131	836.931	0	0
CCDS14974.1|Mm108|chr1	1587	1292.93	0	0
CCDS14975.1|Mm108|chr1	1731	1436.93	0	0
CCDS14976.1|Mm108|chr1	1593	1298.93	0	0
CCDS14977.1|Mm108|chr1	315	97.0249	0	0
CCDS14978.1|Mm108|chr1	1446	1151.93	0	0
CCDS14979.1|Mm108|chr1	1443	1148.93	0	0
CCDS14980.1|Mm108|chr1	2742	2447.93	0	0
CCDS14981.1|Mm108|chr1	1257	962.931	0	0
CCDS14982.2|Mm108|chr1	1674	1379.93	0	0
CCDS14983.1|Mm108|chr1	1242	947.931	0	0
CCDS14984.1|Mm108|chr1	1212	917.931	0	0
CCDS14985.1|Mm108|chr1	1719	1424.93	0	0
CCDS14986.1|Mm108|chr1	1755	1460.93	0	0
CCDS14987.1|Mm108|chr1	1296	1001.93	0	0
CCDS14988.1|Mm108|chr1	1272	977.931	0	0
CCDS14989.1|Mm108|chr1	2070	1775.93	0	0
CCDS14990.1|Mm108|chr1	1389	1094.93	0	0
CCDS14991.1|Mm108|chr1	1341	1046.93	0	0
CCDS14992.1|Mm108|chr1	657	363.157	0	0
CCDS14993.1|Mm108|chr1	672	378.157	0	0
CCDS14994.1|Mm108|chr1	603	310.044	0	0
CCDS14995.1|Mm108|chr1	2745	2450.93	0	0
CCDS14996.1|Mm108|chr1	2184	1889.93	0	0
CCDS14997.1|Mm108|chr1	678	384.157	0	0
CCDS14998.1|Mm108|chr1	1062	767.931	0	0
CCDS14999.1|Mm108|chr1	2490	2195.93	0	0
CCDS15000.2|Mm108|chr1	1503	1208.93	0	0
CCDS15001.1|Mm108|chr1	2070	1775.93	0	0
CCDS15003.1|Mm108|chr1	906	611.998	0	0
CCDS15004.1|Mm108|chr1	1026	731.931	0	0
CCDS15005.1|Mm108|chr1	984	689.931	0	0
CCDS15006.1|Mm108|chr1	657	363.157	0	0
CCDS15008.1|Mm108|chr1	1758	1463.93	0	0
CCDS15009.1|Mm108|chr1	2286	1991.93	0	0
CCDS15012.1|Mm108|chr1	525	244.87	6923.53	735.924
CCDS15013.1|Mm108|chr1	528	247.793	0	0
CCDS15014.1|Mm108|chr1	525	244.87	0	0
CCDS15015.1|Mm108|chr1	696	401.998	0	0
CCDS15016.1|Mm108|chr1	1245	950.931	0	0
CCDS15017.1|Mm108|chr1	1641	1346.93	0	0
CCDS15018.1|Mm108|chr1	525	244.87	0	0
CCDS15020.1|Mm108|chr1	1497	1202.93	0	0
CCDS15022.1|Mm108|chr1	687	393.157	0	0
CCDS15023.1|Mm108|chr1	1293	998.931	0	0
CCDS15024.1|Mm108|chr1	567	279.036	0	0
CCDS15025.1|Mm108|chr1	1200	905.931	0	0
CCDS15026.1|Mm108|chr1	1581	1286.93	0	0
CCDS15027.1|Mm108|chr1	1920	1625.93	0	0
CCDS15028.1|Mm108|chr1	669	375.157	0	0
CCDS15029.1|Mm108|chr1	2298	2003.93	0	0
CCDS15030.1|Mm108|chr1	1779	1484.93	0	0
CCDS15031.1|Mm108|chr1	7434	7139.93	0	0
CCDS15032.1|Mm108|chr1	645	351.157	0	0
CCDS15033.1|Mm108|chr1	894	599.998	0	0
CCDS15034.1|Mm108|chr1	1230	935.931	0	0
CCDS15035.1|Mm108|chr1	4398	4103.93	0	0
CCDS15036.1|Mm108|chr1	918	623.998	0	0
CCDS15037.1|Mm108|chr1	816	521.998	9	0.448761
CCDS15039.1|Mm108|chr1	1440	1145.93	0	0
CCDS15040.1|Mm108|chr1	1080	785.931	0	0
CCDS15041.1|Mm108|chr1	1056	761.931	0	0
CCDS15042.1|Mm108|chr1	990	695.931	0	0
CCDS15043.1|Mm108|chr1	1308	1013.93	0	0
CCDS15044.1|Mm108|chr1	930	635.998	0	0
CCDS15045.1|Mm108|chr1	1083	788.931	0	0
CCDS15046.1|Mm108|chr1	1506	1211.93	0	0
CCDS15047.1|Mm108|chr1	1647	1352.93	0	0
CCDS15048.1|Mm108|chr1	786	491.998	0	0
CCDS15049.1|Mm108|chr1	2484	2189.93	0	0
CCDS15050.1|Mm108|chr1	2940	2645.93	0	0
CCDS15051.1|Mm108|chr1	1257	962.931	0	0
CCDS15052.1|Mm108|chr1	1371	1076.93	0	0
CCDS15053.1|Mm108|chr1	3582	3287.93	0	0
CCDS15054.1|Mm108|chr1	1602	1307.93	0	0
CCDS15055.1|Mm108|chr1	1470	1175.93	0	0
CCDS15056.1|Mm108|chr1	1095	800.931	0	0
CCDS15057.1|Mm108|chr1	1254	959.931	0	0
CCDS15058.1|Mm108|chr1	714	419.998	0	0
CCDS15059.1|Mm108|chr1	594	301.57	0	0
CCDS15060.1|Mm108|chr1	5544	5249.93	0	0
CCDS15061.2|Mm108|chr1	1236	941.931	0	0
CCDS15062.1|Mm108|chr1	1836	1541.93	0	0
CCDS15063.1|Mm108|chr1	1224	929.931	0	0
CCDS15064.1|Mm108|chr1	774	479.998	0	0
CCDS15065.1|Mm108|chr1	2529	2234.93	0	0
CCDS15067.1|Mm108|chr1	918	623.998	0	0
CCDS15068.1|Mm108|chr1	780	485.998	0	0
CCDS15069.1|Mm108|chr1	528	247.793	27	2.83606
CCDS15070.1|Mm108|chr1	1422	1127.93	0	0
CCDS15071.1|Mm108|chr1	1410	1115.93	0	0
CCDS15072.1|Mm108|chr1	1263	968.931	0	0
CCDS15073.1|Mm108|chr1	1620	1325.93	0	0
CCDS15074.1|Mm108|chr1	2325	2030.93	0	0
CCDS15075.1|Mm108|chr1	1839	1544.93	0	0
CCDS15076.1|Mm108|chr1	1083	788.931	0	0
CCDS15077.2|Mm108|chr1	5415	5120.93	0	0
CCDS15078.1|Mm108|chr1	1101	806.931	0	0
CCDS15079.1|Mm108|chr1	3219	2924.93	0	0
CCDS15080.1|Mm108|chr1	3684	3389.93	0	0
CCDS15082.1|Mm108|chr1	1440	1145.93	0	0
CCDS15083.1|Mm108|chr1	1065	770.931	0	0
CCDS15084.1|Mm108|chr1	1770	1475.93	0	0
CCDS15085.1|Mm108|chr1	1008	713.931	0	0
CCDS15086.1|Mm108|chr1	2343	2048.93	168126	2135.74
CCDS15087.1|Mm108|chr1	2163	1868.93	0	0
CCDS15088.1|Mm108|chr1	513	233.482	0	0
CCDS15089.1|Mm108|chr1	1854	1559.93	0	0
CCDS15090.1|Mm108|chr1	564	277.341	0	0
CCDS15092.1|Mm108|chr1	1194	899.931	0	0
CCDS15093.1|Mm108|chr1	1371	1076.93	0	0
CCDS15094.1|Mm108|chr1	2307	2012.93	0	0
CCDS15096.1|Mm108|chr1	3696	3401.93	0	0
CCDS15097.1|Mm108|chr1	948	653.998	0	0
CCDS15098.1|Mm108|chr1	876	581.998	0	0
CCDS15099.1|Mm108|chr1	681	387.157	0	0
CCDS15100.1|Mm108|chr1	1680	1385.93	0	0
CCDS15101.1|Mm108|chr1	1467	1172.93	0	0
CCDS15103.1|Mm108|chr1	933	638.998	0	0
CCDS15104.2|Mm108|chr1	654	360.157	0	0
CCDS15105.1|Mm108|chr1	2214	1919.93	0	0
CCDS15106.1|Mm108|chr1	1539	1244.93	0	0
CCDS15107.1|Mm108|chr1	636	342.157	0	0
CCDS15109.1|Mm108|chr1	792	497.998	0	0
CCDS15112.1|Mm108|chr1	1026	731.931	0	0
CCDS15115.1|Mm108|chr1	984	689.931	0	0
CCDS15116.1|Mm108|chr1	579	287.297	0	0
CCDS15117.1|Mm108|chr1	2862	2567.93	0	0
CCDS15118.1|Mm108|chr1	2454	2159.93	0	0
CCDS15119.2|Mm108|chr1	1287	992.931	0	0
CCDS15121.1|Mm108|chr1	453	185.318	0	0
CCDS15122.1|Mm108|chr1	795	500.998	0	0
CCDS15123.1|Mm108|chr1	381	137.46	0	0
CCDS15124.1|Mm108|chr1	2613	2318.93	0	0
CCDS15126.1|Mm108|chr1	1590	1295.93	0	0
CCDS15127.1|Mm108|chr1	1680	1385.93	115.519	2.16948
CCDS15128.1|Mm108|chr1	2328	2033.93	0	0
CCDS15129.1|Mm108|chr1	1563	1268.93	0	0
CCDS15130.1|Mm108|chr1	705	410.998	0	0
CCDS15131.1|Mm108|chr1	723	428.998	0	0
CCDS15132.1|Mm108|chr1	723	428.998	0	0
CCDS15133.1|Mm108|chr1	3876	3581.93	0	0
CCDS15135.1|Mm108|chr1	1140	845.931	0	0
CCDS15136.1|Mm108|chr1	1824	1529.93	0	0
CCDS15137.1|Mm108|chr1	3441	3146.93	0	0
CCDS15138.1|Mm108|chr1	1587	1292.93	0	0
CCDS15139.1|Mm108|chr1	1596	1301.93	0	0
CCDS15141.1|Mm108|chr1	1602	1307.93	0	0
CCDS15142.1|Mm108|chr1	729	434.998	0	0
CCDS15143.1|Mm108|chr1	1608	1313.93	0	0
CCDS15144.1|Mm108|chr1	2004	1709.93	0	0
CCDS15145.1|Mm108|chr1	612	319.012	0	0
CCDS15146.1|Mm108|chr1	579	287.297	0	0
CCDS15147.1|Mm108|chr1	2889	2594.93	0	0
CCDS15148.1|Mm108|chr1	2415	2120.93	0	0
CCDS15149.1|Mm108|chr1	2574	2279.93	0	0
CCDS15150.1|Mm108|chr1	1047	752.931	0	0
CCDS15151.1|Mm108|chr1	1404	1109.93	0	0
CCDS15152.1|Mm108|chr1	1089	794.931	0	0
CCDS15153.1|Mm108|chr1	630	336.157	0	0
CCDS15155.1|Mm108|chr1	1773	1478.93	0	0
CCDS15156.1|Mm108|chr1	645	351.157	0	0
CCDS15157.1|Mm108|chr1	3042	2747.93	0	0
CCDS15158.1|Mm108|chr1	447	182.858	0	0
CCDS15159.1|Mm108|chr1	1299	1004.93	0	0
CCDS15160.1|Mm108|chr1	3018	2723.93	0	0
CCDS15161.1|Mm108|chr1	1746	1451.93	0	0
CCDS15162.1|Mm108|chr1	1179	884.931	0	0
CCDS15163.1|Mm108|chr1	675	381.157	0	0
CCDS15166.1|Mm108|chr1	483	205.411	0	0
CCDS15167.1|Mm108|chr1	1068	773.931	0	0
CCDS15168.1|Mm108|chr1	939	644.998	0	0
CCDS15169.1|Mm108|chr1	936	641.998	0	0
CCDS15170.1|Mm108|chr1	939	644.998	0	0
CCDS15171.1|Mm108|chr1	972	677.931	0	0
CCDS15172.1|Mm108|chr1	966	671.931	0	0
CCDS15173.1|Mm108|chr1	972	677.931	0	0
CCDS15174.1|Mm108|chr1	1002	707.931	0	0
CCDS15177.1|Mm108|chr1	1674	1379.93	0	0
CCDS15178.2|Mm108|chr1	3006	2711.93	0	0
CCDS15179.1|Mm108|chr1	492	214.279	0	0
CCDS15180.2|Mm108|chr1	2163	1868.93	0	0
CCDS15181.1|Mm108|chr1	2001	1706.93	0	0
CCDS15182.1|Mm108|chr1	924	629.998	0	0
CCDS15183.1|Mm108|chr1	873	578.998	0	0
CCDS15184.1|Mm108|chr1	1245	950.931	0	0
CCDS15185.1|Mm108|chr1	1359	1064.93	0	0
CCDS15186.1|Mm108|chr1	4152	3857.93	0	0
CCDS15187.1|Mm108|chr1	1086	791.931	0	0
CCDS15188.1|Mm108|chr1	2580	2285.93	0	0
CCDS15189.1|Mm108|chr1	3807	3512.93	0	0
CCDS15190.1|Mm108|chr1	1086	791.931	0	0
CCDS15191.1|Mm108|chr1	3198	2903.93	0	0
CCDS15192.1|Mm108|chr1	1281	986.931	85	2.24168
CCDS15193.1|Mm108|chr1	642	348.157	0	0
CCDS15194.1|Mm108|chr1	1710	1415.93	0	0
CCDS15195.1|Mm108|chr1	1182	887.931	0	0
CCDS15196.1|Mm108|chr1	1608	1313.93	0	0
CCDS15197.1|Mm108|chr1	1191	896.931	0	0
CCDS15199.1|Mm108|chr1	1437	1142.93	0	0
CCDS15200.1|Mm108|chr1	867	572.998	0	0
CCDS15201.1|Mm108|chr1	1080	785.931	0	0
CCDS15202.1|Mm108|chr1	624	330.592	0	0
CCDS15203.1|Mm108|chr1	2406	2111.93	0	0
CCDS15204.1|Mm108|chr1	612	319.012	0	0
CCDS15205.1|Mm108|chr1	2796	2501.93	0	0
CCDS15206.1|Mm108|chr1	3651	3356.93	0	0
CCDS15207.1|Mm108|chr1	1878	1583.93	0	0
CCDS15209.1|Mm108|chr1	711	416.998	0	0
CCDS15210.1|Mm108|chr1	999	704.931	0	0
CCDS15211.1|Mm108|chr1	1335	1040.93	0	0
CCDS15212.1|Mm108|chr1	1272	977.931	0	0
CCDS15213.1|Mm108|chr1	1170	875.931	0	0
CCDS15214.1|Mm108|chr1	1164	869.931	0	0
CCDS15215.1|Mm108|chr1	1164	869.931	0	0
CCDS15216.1|Mm108|chr1	1164	869.931	0	0
CCDS15218.1|Mm108|chr1	1167	872.931	0	0
CCDS15219.1|Mm108|chr1	1248	953.931	0	0
CCDS15220.1|Mm108|chr1	1125	830.931	0	0
CCDS15221.1|Mm108|chr1	2358	2063.93	0	0
CCDS15222.1|Mm108|chr1	954	659.998	0	0
CCDS15224.1|Mm108|chr1	1236	941.931	0	0
CCDS15225.1|Mm108|chr1	621	327.592	0	0
CCDS15226.1|Mm108|chr1	2196	1901.93	0	0
CCDS15227.1|Mm108|chr1	2781	2486.93	0	0
CCDS15228.1|Mm108|chr1	936	641.998	0	0
CCDS15229.1|Mm108|chr1	636	342.157	0	0
CCDS15230.1|Mm108|chr1	264	57.3217	0	0
CCDS15231.1|Mm108|chr1	408	162.557	0	0
CCDS15232.1|Mm108|chr1	381	137.46	0	0
CCDS15233.1|Mm108|chr1	864	569.998	0	0
CCDS15234.1|Mm108|chr1	1557	1262.93	0	0
CCDS15235.1|Mm108|chr1	1206	911.931	0	0
CCDS15236.1|Mm108|chr1	678	384.157	0	0
CCDS15237.1|Mm108|chr1	1890	1595.93	0	0
CCDS15238.2|Mm108|chr1	1887	1592.93	0	0
CCDS15239.1|Mm108|chr1	1113	818.931	0	0
CCDS15240.1|Mm108|chr1	1983	1688.93	0	0
CCDS15241.2|Mm108|chr1	2403	2108.93	0	0
CCDS15242.1|Mm108|chr1	1257	962.931	0	0
CCDS15243.1|Mm108|chr1	426	175.091	0	0
CCDS15245.1|Mm108|chr1	2223	1928.93	0	0
CCDS15247.1|Mm108|chr1	1011	716.931	0	0
CCDS15248.1|Mm108|chr1	2172	1877.93	0	0
CCDS15249.1|Mm108|chr1	2946	2651.93	0	0
CCDS15250.1|Mm108|chr1	3408	3113.93	0	0
CCDS15251.1|Mm108|chr1	1521	1226.93	0	0
CCDS15252.1|Mm108|chr1	2466	2171.93	0	0
CCDS15253.1|Mm108|chr1	1506	1211.93	0	0
CCDS15254.1|Mm108|chr1	1080	785.931	0	0
CCDS15255.1|Mm108|chr1	4824	4529.93	0	0
CCDS15256.1|Mm108|chr1	1173	878.931	0	0
CCDS15257.1|Mm108|chr1	1740	1445.93	0	0
CCDS15259.1|Mm108|chr1	1608	1313.93	0	0
CCDS15260.1|Mm108|chr1	2316	2021.93	0	0
CCDS15261.1|Mm108|chr1	1269	974.931	0	0
CCDS15262.2|Mm108|chr1	663	369.157	0	0
CCDS15263.1|Mm108|chr1	531	250.715	0	0
CCDS15264.1|Mm108|chr1	531	250.715	0	0
CCDS15265.1|Mm108|chr1	537	256.53	0	0
CCDS15266.1|Mm108|chr1	1161	866.931	0	0
CCDS15267.1|Mm108|chr1	1761	1466.93	0	0
CCDS15268.1|Mm108|chr1	1242	947.931	0	0
CCDS15269.1|Mm108|chr1	2154	1859.93	0	0
CCDS15270.1|Mm108|chr1	450	184.034	0	0
CCDS15271.1|Mm108|chr1	1194	899.931	0	0
CCDS15272.1|Mm108|chr1	600	307.508	0	0
CCDS15273.1|Mm108|chr1	2373	2078.93	0	0
CCDS15274.1|Mm108|chr1	1512	1217.93	0	0
CCDS15275.1|Mm108|chr1	1539	1244.93	0	0
CCDS15276.1|Mm108|chr1	615	321.98	0	0
CCDS15278.1|Mm108|chr1	1662	1367.93	0	0
CCDS15280.2|Mm108|chr1	1539	1244.93	0	0
CCDS15281.1|Mm108|chr1	1356	1061.93	0	0
CCDS15283.1|Mm108|chr1	1896	1601.93	0	0
CCDS15284.1|Mm108|chr1	2121	1826.93	0	0
CCDS15285.1|Mm108|chr1	2784	2489.93	0	0
CCDS15286.1|Mm108|chr1	1617	1322.93	0	0
CCDS15287.1|Mm108|chr1	780	485.998	0	0
CCDS15288.1|Mm108|chr1	3123	2828.93	0	0
CCDS15289.1|Mm108|chr1	2193	1898.93	0	0
CCDS15290.1|Mm108|chr1	1470	1175.93	0	0
CCDS15291.1|Mm108|chr1	2094	1799.93	0	0
CCDS15292.1|Mm108|chr1	3522	3227.93	0	0
CCDS15295.1|Mm108|chr1	1209	914.931	0	0
CCDS15296.2|Mm108|chr1	1158	863.931	0	0
CCDS15297.1|Mm108|chr1	2379	2084.93	0	0
CCDS15298.1|Mm108|chr1	3618	3323.93	0	0
CCDS15299.2|Mm108|chr1	1146	851.931	0	0
CCDS15300.1|Mm108|chr1	1137	842.931	0	0
CCDS15301.1|Mm108|chr1	1131	836.931	0	0
CCDS15302.1|Mm108|chr1	477	202.528	0	0
CCDS15304.1|Mm108|chr1	1395	1100.93	0	0
CCDS15305.1|Mm108|chr1	981	686.931	0	0
CCDS15306.1|Mm108|chr1	675	381.157	0	0
CCDS15307.2|Mm108|chr1	1440	1145.93	0	0
CCDS15308.1|Mm108|chr1	918	623.998	0	0
CCDS15309.1|Mm108|chr1	1128	833.931	0	0
CCDS15310.1|Mm108|chr1	372	131.141	0	0
CCDS15312.1|Mm108|chr1	1269	974.931	0	0
CCDS15313.1|Mm108|chr1	615	321.98	0	0
CCDS15314.1|Mm108|chr1	2904	2609.93	0	0
CCDS15315.1|Mm108|chr1	1080	785.931	0	0
CCDS15316.1|Mm108|chr1	561	274.426	0	0
CCDS15317.1|Mm108|chr1	1953	1658.93	0	0
CCDS15318.1|Mm108|chr1	516	236.482	0	0
CCDS15319.1|Mm108|chr1	594	301.57	0	0
CCDS15320.1|Mm108|chr1	582	289.718	0	0
CCDS15322.1|Mm108|chr1	2187	1892.93	0	0
CCDS15323.1|Mm108|chr1	552	267.232	0	0
CCDS15324.1|Mm108|chr1	4875	4580.93	0	0
CCDS15325.2|Mm108|chr1	2034	1739.93	0	0
CCDS15326.1|Mm108|chr1	1860	1565.93	0	0
CCDS15327.1|Mm108|chr1	2682	2387.93	0	0
CCDS15328.1|Mm108|chr1	1683	1388.93	0	0
CCDS15330.2|Mm108|chr1	3465	3170.93	0	0
CCDS15331.1|Mm108|chr1	357	120.505	0	0
CCDS15332.1|Mm108|chr1	909	614.998	0	0
CCDS15333.1|Mm108|chr1	966	671.931	0	0
CCDS15334.1|Mm108|chr1	993	698.931	0	0
CCDS15336.1|Mm108|chr1	4218	3923.93	0	0
CCDS15337.1|Mm108|chr1	1032	737.931	0	0
CCDS15339.1|Mm108|chr1	999	704.931	0	0
CCDS15341.1|Mm108|chr1	1596	1301.93	0	0
CCDS15342.1|Mm108|chr1	1269	974.931	0	0
CCDS15343.1|Mm108|chr1	471	201.24	0	0
CCDS15344.1|Mm108|chr1	372	131.141	0	0
CCDS15345.1|Mm108|chr1	1617	1322.93	0	0
CCDS15346.1|Mm108|chr1	990	695.931	0	0
CCDS15347.1|Mm108|chr1	636	342.157	0	0
CCDS15348.1|Mm108|chr1	477	202.528	0	0
CCDS15349.2|Mm108|chr1	630	336.157	0	0
CCDS15350.1|Mm108|chr1	708	413.998	0	0
