	"output/RSEM/NGS128_S21.isoforms.results"	"output/RSEM/NGS130_S23.isoforms.results"
"CCDS51370.1|Mm108|chr4"	0.00	0.00
"CCDS48909.1|Mm108|chr11"	0.00	0.00
"CCDS57311.1|Mm108|chr4"	0.00	0.00
"CCDS39390.1|Mm108|chr5"	0.00	0.00
"CCDS48910.1|Mm108|chr11"	0.00	0.00
"CCDS85842.1|Mm108|chrY"	0.00	0.00
"CCDS49638.1|Mm108|chr15"	0.00	0.00
"CCDS85004.1|Mm108|chr5"	0.00	0.00
"CCDS85864.1|Mm108|chrY"	0.00	0.00
"CCDS57404.1|Mm108|chr5"	0.00	0.00
"CCDS85006.1|Mm108|chr5"	0.00	0.00
"CCDS49960.1|Mm108|chr17"	0.00	0.00
"CCDS85007.1|Mm108|chr5"	0.00	0.00
"CCDS57268.1|Mm108|chr4"	0.00	0.00
"CCDS38771.1|Mm108|chr4"	0.00	0.00
"CCDS48536.1|Mm108|chr10"	0.00	0.00
"CCDS49959.1|Mm108|chr17"	0.00	0.00
"CCDS88996.1|Mm108|chr17"	0.00	0.00
"CCDS56641.1|Mm108|chr1"	0.00	0.00
"CCDS49962.1|Mm108|chr17"	0.00	0.00
"CCDS49961.1|Mm108|chr17"	0.00	0.00
"CCDS84739.1|Mm108|chr4"	0.00	0.00
"CCDS57314.1|Mm108|chr4"	0.00	0.00
"CCDS56924.1|Mm108|chr14"	0.00	0.00
"CCDS84740.1|Mm108|chr4"	0.00	0.00
"CCDS52501.1|Mm108|chr8"	0.00	0.00
"CCDS88632.1|Mm108|chr14"	0.00	0.00
"CCDS89881.1|Mm108|chr5"	0.00	0.00
"CCDS52506.1|Mm108|chr8"	0.00	0.00
"CCDS52507.1|Mm108|chr8"	0.00	0.00
"CCDS56913.1|Mm108|chr14"	0.00	0.00
"CCDS56936.1|Mm108|chr14"	0.00	0.00
"CCDS52509.1|Mm108|chr8"	0.00	0.00
"CCDS52510.1|Mm108|chr8"	0.00	0.00
"CCDS52514.1|Mm108|chr8"	0.00	0.00
"CCDS52642.1|Mm108|chr8"	0.00	0.00
"CCDS79201.1|Mm108|chr13"	0.00	0.00
"CCDS56950.1|Mm108|chr14"	0.00	0.00
"CCDS56625.1|Mm108|chr1"	0.00	0.00
"CCDS88558.1|Mm108|chr14"	0.00	0.00
"CCDS53032.1|Mm108|chrX"	0.00	0.00
"CCDS53033.1|Mm108|chrX"	0.00	0.00
"CCDS49397.1|Mm108|chr14"	0.00	0.00
"CCDS72326.1|Mm108|chrX"	0.00	0.00
"CCDS51580.1|Mm108|chr5"	0.00	0.00
"CCDS72327.1|Mm108|chrX"	0.00	0.00
"CCDS53029.1|Mm108|chrX"	0.00	0.00
"CCDS52979.1|Mm108|chrX"	0.00	0.00
"CCDS57726.1|Mm108|chrX"	0.00	0.00
"CCDS90631.1|Mm108|chr9"	0.00	0.00
"CCDS52866.1|Mm108|chr9"	0.00	0.00
"CCDS49460.1|Mm108|chr14"	0.00	0.00
"CCDS85906.1|Mm108|chrY"	0.00	0.00
"CCDS52017.1|Mm108|chr7"	0.00	0.00
"CCDS51990.1|Mm108|chr7"	0.00	0.00
"CCDS53156.1|Mm108|chrX"	0.00	0.00
"CCDS51145.1|Mm108|chr4"	0.00	0.00
"CCDS57494.1|Mm108|chr7"	0.00	0.00
"CCDS90158.1|Mm108|chr7"	0.00	0.00
"CCDS84652.1|Mm108|chr3"	0.00	0.00
"CCDS51150.1|Mm108|chr4"	0.00	0.00
"CCDS51995.1|Mm108|chr7"	0.00	0.00
"CCDS90813.1|Mm108|chrY"	0.00	0.00
"CCDS57480.1|Mm108|chr7"	0.00	0.00
"CCDS57481.1|Mm108|chr7"	0.00	0.00
"CCDS57179.1|Mm108|chr2"	0.00	0.00
"CCDS50981.1|Mm108|chr3"	0.00	0.00
"CCDS49124.1|Mm108|chr12"	0.00	0.00
"CCDS57487.1|Mm108|chr7"	0.00	0.00
"CCDS52995.1|Mm108|chrX"	0.00	0.00
"CCDS50647.1|Mm108|chr2"	0.00	0.00
"CCDS89522.1|Mm108|chr2"	0.00	0.00
"CCDS49125.1|Mm108|chr12"	0.00	0.00
"CCDS57122.1|Mm108|chr18"	0.00	0.00
"CCDS57486.1|Mm108|chr7"	0.00	0.00
"CCDS53251.1|Mm108|chrY"	0.00	0.00
"CCDS57482.1|Mm108|chr7"	0.00	0.00
"CCDS85835.1|Mm108|chrY"	0.00	0.00
"CCDS70890.1|Mm108|chr18"	0.00	0.00
"CCDS57577.1|Mm108|chr7"	0.00	0.00
"CCDS85836.1|Mm108|chrY"	0.00	0.00
"CCDS85837.1|Mm108|chrY"	0.00	0.00
"CCDS52005.1|Mm108|chr7"	0.00	0.00
"CCDS52004.1|Mm108|chr7"	0.00	0.00
"CCDS52007.1|Mm108|chr7"	0.00	0.00
"CCDS53003.1|Mm108|chrX"	0.00	0.00
"CCDS57729.1|Mm108|chrX"	0.00	0.00
"CCDS57730.1|Mm108|chrX"	0.00	0.00
"CCDS57731.1|Mm108|chrX"	0.00	0.00
"CCDS57732.1|Mm108|chrX"	0.00	0.00
"CCDS57733.1|Mm108|chrX"	0.00	0.00
"CCDS57734.1|Mm108|chrX"	0.00	0.00
"CCDS57735.1|Mm108|chrX"	0.00	0.00
"CCDS71897.1|Mm108|chr7"	0.00	0.00
"CCDS52073.1|Mm108|chr7"	0.00	0.00
"CCDS52074.1|Mm108|chr7"	0.00	0.00
"CCDS71900.1|Mm108|chr7"	0.00	0.00
"CCDS52082.1|Mm108|chr7"	0.00	0.00
"CCDS52094.1|Mm108|chr7"	0.00	0.00
"CCDS71902.1|Mm108|chr7"	0.00	0.00
"CCDS71903.1|Mm108|chr7"	0.00	0.00
"CCDS52101.1|Mm108|chr7"	0.00	0.00
"CCDS52105.1|Mm108|chr7"	0.00	0.00
"CCDS71905.1|Mm108|chr7"	0.00	0.00
"CCDS51374.1|Mm108|chr4"	0.00	0.00
"CCDS52108.1|Mm108|chr7"	0.00	0.00
"CCDS71907.1|Mm108|chr7"	0.00	0.00
"CCDS52113.1|Mm108|chr7"	0.00	0.00
"CCDS49813.1|Mm108|chr16"	0.00	0.00
"CCDS52114.1|Mm108|chr7"	0.00	0.00
"CCDS71910.1|Mm108|chr7"	0.00	0.00
"CCDS59720.1|Mm108|chr7"	0.00	0.00
"CCDS71911.1|Mm108|chr7"	0.00	0.00
"CCDS52123.1|Mm108|chr7"	0.00	0.00
"CCDS52128.1|Mm108|chr7"	0.00	0.00
"CCDS52131.1|Mm108|chr7"	0.00	0.00
"CCDS52132.1|Mm108|chr7"	0.00	0.00
"CCDS50432.1|Mm108|chr19"	0.00	0.00
"CCDS36368.1|Mm108|chr11"	0.00	0.00
"CCDS36369.1|Mm108|chr11"	0.00	0.00
"CCDS40151.1|Mm108|chr7"	0.00	0.00
"CCDS50982.1|Mm108|chr3"	0.00	0.00
"CCDS52030.1|Mm108|chr7"	0.00	0.00
"CCDS48734.1|Mm108|chr10"	0.00	0.00
"CCDS53021.1|Mm108|chrX"	0.00	0.00
"CCDS88077.1|Mm108|chr10"	0.00	0.00
"CCDS48680.1|Mm108|chr10"	0.00	0.00
"CCDS48681.1|Mm108|chr10"	0.00	0.00
"CCDS48682.1|Mm108|chr10"	0.00	0.00
"CCDS48683.1|Mm108|chr10"	0.00	0.00
"CCDS88078.1|Mm108|chr10"	0.00	0.00
"CCDS52420.1|Mm108|chr7"	0.00	0.00
"CCDS89539.1|Mm108|chr2"	0.00	0.00
"CCDS88081.1|Mm108|chr10"	0.00	0.00
"CCDS57089.1|Mm108|chr17"	0.00	0.00
"CCDS49852.1|Mm108|chr16"	0.00	0.00
"CCDS57534.1|Mm108|chr7"	0.00	0.00
"CCDS57095.1|Mm108|chr17"	0.00	0.00
"CCDS50830.1|Mm108|chr2"	0.00	0.00
"CCDS38368.1|Mm108|chr2"	0.00	0.00
"CCDS89602.1|Mm108|chr2"	0.00	0.00
"CCDS57247.1|Mm108|chr3"	0.00	0.00
"CCDS89670.1|Mm108|chr3"	0.00	0.00
"CCDS50067.1|Mm108|chr17"	0.00	0.00
"CCDS57062.1|Mm108|chr17"	0.00	0.00
"CCDS57434.1|Mm108|chr6"	0.00	0.00
"CCDS52071.1|Mm108|chr7"	0.00	0.00
"CCDS52072.1|Mm108|chr7"	0.00	0.00
"CCDS90176.1|Mm108|chr7"	0.00	0.00
"CCDS52081.1|Mm108|chr7"	0.00	0.00
"CCDS52099.1|Mm108|chr7"	0.00	0.00
"CCDS80806.1|Mm108|chr7"	49.00	0.00
"CCDS52100.1|Mm108|chr7"	0.00	0.00
"CCDS52104.1|Mm108|chr7"	0.00	0.00
"CCDS57596.1|Mm108|chr7"	0.00	0.00
"CCDS85232.1|Mm108|chr7"	0.00	0.00
"CCDS57519.1|Mm108|chr7"	0.00	0.00
"CCDS52126.1|Mm108|chr7"	0.00	0.00
"CCDS52127.1|Mm108|chr7"	0.00	0.00
"CCDS51054.1|Mm108|chr3"	0.00	0.00
"CCDS51055.1|Mm108|chr3"	0.00	0.00
"CCDS51056.1|Mm108|chr3"	0.00	0.00
"CCDS38361.1|Mm108|chr2"	0.00	0.00
"CCDS57531.1|Mm108|chr7"	0.00	0.00
"CCDS52952.1|Mm108|chr9"	0.00	0.00
"CCDS57536.1|Mm108|chr7"	0.00	0.00
"CCDS80697.1|Mm108|chr7"	0.00	0.00
"CCDS80701.1|Mm108|chr7"	0.00	0.00
"CCDS52199.1|Mm108|chr7"	0.00	0.00
"CCDS39653.1|Mm108|chr6"	0.00	0.00
"CCDS52201.1|Mm108|chr7"	0.00	0.00
"CCDS38316.1|Mm108|chr2"	0.00	0.00
"CCDS89595.1|Mm108|chr2"	0.00	0.00
"CCDS57193.1|Mm108|chr2"	0.00	0.00
"CCDS57603.1|Mm108|chr8"	0.00	0.00
"CCDS84838.1|Mm108|chr4"	0.00	0.00
"CCDS56693.1|Mm108|chr10"	0.00	0.00
"CCDS87964.1|Mm108|chr10"	0.00	0.00
"CCDS57146.1|Mm108|chr19"	0.00	0.00
"CCDS71155.1|Mm108|chr2"	0.00	0.00
"CCDS52870.1|Mm108|chr9"	0.00	0.00
"CCDS51199.1|Mm108|chr4"	0.00	0.00
"CCDS18360.1|Mm108|chr4"	0.00	0.00
"CCDS38814.1|Mm108|chr4"	0.00	0.00
"CCDS38981.1|Mm108|chr4"	0.00	0.00
"CCDS57315.1|Mm108|chr4"	0.00	0.00
"CCDS53233.1|Mm108|chrX"	0.00	0.00
"CCDS18458.1|Mm108|chr4"	0.00	0.00
"CCDS18723.1|Mm108|chr4"	0.00	0.00
"CCDS57303.1|Mm108|chr4"	0.00	0.00
"CCDS38982.1|Mm108|chr4"	0.00	0.00
"CCDS49067.1|Mm108|chr12"	0.00	0.00
"CCDS49066.1|Mm108|chr12"	0.00	12.50
"CCDS78579.1|Mm108|chr1"	0.00	0.00
"CCDS18418.1|Mm108|chr4"	0.00	0.00
"CCDS48637.1|Mm108|chr10"	0.00	0.00
"CCDS18142.1|Mm108|chr4"	0.00	0.00
"CCDS71381.1|Mm108|chr4"	0.00	0.00
"CCDS50919.1|Mm108|chr3"	0.00	0.00
"CCDS49735.1|Mm108|chr15"	0.00	0.00
"CCDS57083.1|Mm108|chr17"	0.00	0.00
"CCDS57094.1|Mm108|chr17"	0.00	0.00
"CCDS57085.1|Mm108|chr17"	0.00	0.00
"CCDS57084.1|Mm108|chr17"	0.00	0.00
"CCDS57088.1|Mm108|chr17"	0.00	0.00
"CCDS57091.1|Mm108|chr17"	0.00	0.00
"CCDS57086.1|Mm108|chr17"	0.00	0.00
"CCDS57093.1|Mm108|chr17"	0.00	0.00
"CCDS57092.1|Mm108|chr17"	0.00	0.00
"CCDS57087.1|Mm108|chr17"	0.00	0.00
"CCDS49701.1|Mm108|chr15"	0.00	0.00
"CCDS18996.1|Mm108|chr4"	0.00	0.00
"CCDS89864.1|Mm108|chr4"	0.00	0.00
"CCDS53054.1|Mm108|chrX"	0.00	0.00
"CCDS53056.1|Mm108|chrX"	0.00	0.00
"CCDS79037.1|Mm108|chr11"	0.00	0.00
"CCDS89749.1|Mm108|chr4"	0.00	0.00
"CCDS18771.1|Mm108|chr4"	0.00	0.00
"CCDS71490.1|Mm108|chr4"	0.00	0.00
"CCDS18724.1|Mm108|chr4"	0.00	0.00
"CCDS51318.1|Mm108|chr4"	0.00	0.00
"CCDS88545.1|Mm108|chr14"	0.00	0.00
"CCDS18664.1|Mm108|chr4"	0.00	0.00
"CCDS71469.1|Mm108|chr4"	0.00	0.00
"CCDS38777.1|Mm108|chr4"	0.00	0.00
"CCDS51200.1|Mm108|chr4"	0.00	0.00
"CCDS78848.1|Mm108|chr10"	0.00	0.00
"CCDS18967.1|Mm108|chr4"	0.00	0.00
"CCDS71524.1|Mm108|chr4"	0.00	0.00
"CCDS17983.1|Mm108|chr4"	0.00	0.00
"CCDS18650.1|Mm108|chr4"	0.00	0.00
"CCDS18753.1|Mm108|chr4"	0.00	0.00
"CCDS71484.1|Mm108|chr4"	0.00	0.00
"CCDS18092.1|Mm108|chr4"	0.00	0.00
"CCDS89734.1|Mm108|chr4"	0.00	0.00
"CCDS50739.1|Mm108|chr2"	0.00	0.00
"CCDS49941.1|Mm108|chr17"	0.00	0.00
"CCDS18737.1|Mm108|chr4"	0.00	0.00
"CCDS49148.1|Mm108|chr12"	0.00	0.00
"CCDS50933.1|Mm108|chr3"	0.00	0.00
"CCDS89638.1|Mm108|chr3"	0.00	0.00
"CCDS78871.1|Mm108|chr10"	0.00	0.00
"CCDS79815.1|Mm108|chr2"	0.00	0.00
"CCDS51577.1|Mm108|chr5"	0.00	0.00
"CCDS38835.2|Mm108|chr4"	0.00	0.00
"CCDS51257.1|Mm108|chr4"	0.00	0.00
"CCDS51258.1|Mm108|chr4"	0.00	0.00
"CCDS84775.1|Mm108|chr4"	0.00	0.00
"CCDS89802.1|Mm108|chr4"	0.00	0.00
"CCDS49044.1|Mm108|chr12"	0.00	0.00
"CCDS59740.1|Mm108|chr8"	0.00	0.00
"CCDS48570.1|Mm108|chr10"	0.00	0.00
"CCDS57198.1|Mm108|chr2"	0.00	0.00
"CCDS57199.1|Mm108|chr2"	0.00	0.00
"CCDS50975.1|Mm108|chr3"	0.00	0.00
"CCDS49935.1|Mm108|chr17"	0.00	0.00
"CCDS51107.1|Mm108|chr4"	0.00	0.00
"CCDS51108.1|Mm108|chr4"	0.00	0.00
"CCDS52025.1|Mm108|chr7"	0.00	0.00
"CCDS52026.1|Mm108|chr7"	0.00	0.00
"CCDS52069.1|Mm108|chr7"	0.00	0.00
"CCDS50208.1|Mm108|chr18"	0.00	0.00
"CCDS52155.1|Mm108|chr7"	0.00	0.00
"CCDS49219.1|Mm108|chr13"	0.00	0.00
"CCDS88422.1|Mm108|chr13"	0.00	0.00
"CCDS52767.1|Mm108|chr9"	0.00	0.00
"CCDS52758.1|Mm108|chr9"	0.00	0.00
"CCDS52755.1|Mm108|chr9"	0.00	0.00
"CCDS52759.1|Mm108|chr9"	0.00	0.00
"CCDS57669.1|Mm108|chr9"	0.00	0.00
"CCDS18660.1|Mm108|chr4"	0.00	0.00
"CCDS18661.1|Mm108|chr4"	0.00	0.00
"CCDS51507.2|Mm108|chr5"	0.00	0.00
"CCDS52236.1|Mm108|chr7"	0.00	0.00
"CCDS18736.1|Mm108|chr4"	0.00	0.00
"CCDS71482.1|Mm108|chr4"	0.00	0.00
"CCDS18733.1|Mm108|chr4"	0.00	0.00
"CCDS18748.1|Mm108|chr4"	0.00	0.00
"CCDS18692.1|Mm108|chr4"	0.00	0.00
"CCDS79616.1|Mm108|chr18"	0.00	0.00
"CCDS48923.1|Mm108|chr11"	0.00	0.00
"CCDS56892.1|Mm108|chr13"	0.00	0.00
"CCDS89693.1|Mm108|chr3"	0.00	0.00
"CCDS18189.1|Mm108|chr4"	0.00	0.00
"CCDS51178.1|Mm108|chr4"	0.00	0.00
"CCDS89743.1|Mm108|chr4"	0.00	0.00
"CCDS57431.1|Mm108|chr6"	0.00	0.00
"CCDS18497.1|Mm108|chr4"	0.00	0.00
"CCDS18568.1|Mm108|chr4"	0.00	0.00
"CCDS19812.1|Mm108|chr5"	0.00	0.00
"CCDS87903.1|Mm108|chr1"	0.00	0.00
"CCDS28124.1|Mm108|chr16"	0.00	0.00
"CCDS49832.1|Mm108|chr16"	0.00	0.00
"CCDS88917.1|Mm108|chr16"	0.00	0.00
"CCDS53124.1|Mm108|chrX"	0.00	0.00
"CCDS57502.1|Mm108|chr7"	0.00	0.00
"CCDS57065.1|Mm108|chr17"	0.00	0.00
"CCDS56800.1|Mm108|chr11"	0.00	0.00
"CCDS56723.1|Mm108|chr10"	0.00	0.00
"CCDS57126.1|Mm108|chr18"	0.00	0.00
"CCDS90388.1|Mm108|chr8"	0.00	0.00
"CCDS57717.1|Mm108|chr9"	0.00	0.00
"CCDS70307.1|Mm108|chr11"	0.00	0.00
"CCDS57206.1|Mm108|chr3"	0.00	0.00
"CCDS56773.2|Mm108|chr11"	0.00	0.00
"CCDS56724.1|Mm108|chr10"	0.00	0.00
"CCDS51940.1|Mm108|chr6"	0.00	0.00
"CCDS57676.1|Mm108|chr9"	0.00	0.00
"CCDS57624.1|Mm108|chr8"	0.00	0.00
"CCDS56725.1|Mm108|chr10"	0.00	0.00
"CCDS59669.1|Mm108|chr5"	0.00	0.00
"CCDS57552.1|Mm108|chr7"	0.00	0.00
"CCDS57145.1|Mm108|chr19"	0.00	0.00
"CCDS57773.1|Mm108|chrX"	11.00	0.00
"CCDS88463.1|Mm108|chr13"	0.00	0.00
"CCDS51585.1|Mm108|chr5"	0.00	0.00
"CCDS57370.1|Mm108|chr5"	0.00	0.00
"CCDS85811.1|Mm108|chrX"	0.00	0.00
"CCDS51037.1|Mm108|chr3"	0.00	0.00
"CCDS51038.1|Mm108|chr3"	0.00	0.00
"CCDS84589.1|Mm108|chr2"	0.00	0.00
"CCDS56646.1|Mm108|chr1"	0.00	0.00
"CCDS56783.1|Mm108|chr11"	0.00	0.00
"CCDS57566.1|Mm108|chr7"	0.00	0.00
"CCDS70050.1|Mm108|chr10"	0.00	0.00
"CCDS57672.1|Mm108|chr9"	0.00	0.00
"CCDS56966.1|Mm108|chr14"	0.00	0.00
"CCDS59668.1|Mm108|chr5"	0.00	0.00
"CCDS57147.1|Mm108|chr19"	0.00	0.00
"CCDS57263.1|Mm108|chr4"	0.00	0.00
"CCDS57313.1|Mm108|chr4"	0.00	0.00
"CCDS52339.1|Mm108|chr7"	0.00	0.00
"CCDS84244.1|Mm108|chr16"	0.00	0.00
